,,41A - PC/JC MENU LIST,,,,,,,,APPROX. DAILY ORDER,,,,,,
,,,,,ESTIMATED,,,,,,,,,,,
,,,PRODUCTION,PLATING &,WEELY,UOM,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,,
Item Code,,ITEM DESCRIPTION,SITE,ASSEMBLY SITE,ORDER,,,,,,,,,,,
,,,,,,,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,,
15,g,DRESSING SESAME AND RICE VINEGAR,,,31.14,kg,3.42,3.38,4.05,3.87,4.85,4.10,3.89,3.60,,
,,,,,,,,,,,,,,,,
3,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,41A - PC/JC MENU LIST,,,,,,,,APPROX. DAILY ORDER,,,,,,
,,,,,ESTIMATED,,,,,,,,,,,
,,,PRODUCTION,PLATING &,WEELY,UOM,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,,
Item Code,,ITEM DESCRIPTION,SITE,ASSEMBLY SITE,ORDER,,,,,,,,,,,
,,,,,,,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,,
,,MAINS,,,,,,,,,,,,,,
F0505925,,BEEF MASSAMAN CURRY JASMINE RICE,Mascot,Mascot,1591,units,178,179,202,198,244,217,189,184,,
1,ea,BEEF MASSAMAN CURRY (240G) WHICH INCLUDES:-,,,1591,ea,178,179,202,198,244,217,189,184,,
100,g,BEEF,,,159.10,kg,17.80,17.90,20.20,19.80,24.40,21.70,18.90,18.40,,
35,g,POTATOES,,,55.69,kg,6.23,6.27,7.07,6.93,8.54,7.60,6.62,6.44,,
35,g,MASSAMAN CURRY SAUCE,,,55.69,kg,6.23,6.27,7.07,6.93,8.54,7.60,6.62,6.44,,
80,g,JASMINE RICE,,,127.28,kg,14.24,14.32,16.16,15.84,19.52,17.36,15.12,14.72,,
2,ea,BLANCHED CABBAGE LEAF,,,3182,ea,356,358,404,396,488,434,378,368,,
F1401997,,BLANCHED GAI LAN FOR F0505925,Mascot,Mascot,1591,units,178,179,202,198,244,217,189,184,,
60,g,GAILAN,,,95.46,kg,10.68,10.74,12.12,11.88,14.64,13.02,11.34,11.04,,
F1402023,,CRISPY ESCHALOTS THAI BASIL FOR F0505925,Mascot,Mascot,#REF!,units,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,
5,g,CRISPY ESCHALOTS,,,#REF!,kg,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,
2,g,THAI BASIL,,,#REF!,kg,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,
F0601176,,ROASTED EGGPLANT EGGPLANT NOODLES,Mascot,Mascot,615,units,73,65,77,79,92,85,68,76,,
60,g,ROASTED EGGPLANT 1.5cmx 1.5xm x7cm,,,36.90,kg,4.38,3.90,4.62,4.74,5.52,5.10,4.08,4.56,,
50,g,NOODLE SAUCE,,,30.75,kg,3.65,3.25,3.85,3.95,4.60,4.25,3.40,3.80,,
1,g,CORIANDER FRESH PICKED,,,0.62,kg,0.07,0.07,0.08,0.08,0.09,0.09,0.07,0.08,,
3,g,CHILLI RED JULIENNE,,,1.85,kg,0.22,0.20,0.23,0.24,0.28,0.26,0.20,0.23,,
F1401397,,HOKKIEN NOODLES 90G 2P32,Mascot,Mascot,615,units,73,65,77,79,92,85,68,76,,
90,g,HOKKIEN NOODLES,,,55.35,kg,6.57,5.85,6.93,7.11,8.28,7.65,6.12,6.84,,
40,g,BOK CHOY,,,24.60,kg,2.92,2.60,3.08,3.16,3.68,3.40,2.72,3.04,,
2,ea,CABBAGE LEAF,,,1230.00,ea,146.00,130.00,154.00,158.00,184.00,170.00,136.00,152.00,,
F0505923,,ROAST CHICKEN CHASSEUR RISONI BEANS PEAS,Mascot,Mascot,343,units,42,35,42,49,48,51,32,44,,
120,g,ROAST CHICKEN BREAST SK/ON (1 EA = 120G CW),,,41.16,kg,5.04,4.20,5.04,5.88,5.76,6.12,3.84,5.28,,
40,g,CHASSEUR SAUCE,,,13.72,kg,1.68,1.40,1.68,1.96,1.92,2.04,1.28,1.76,,
15,g,COOKED BUTTON MUSHROOMS,,,5.15,kg,0.63,0.53,0.63,0.74,0.72,0.77,0.48,0.66,,
10,g,SLOW ROASTED CHERRY TOMATOES,,,3.43,kg,0.42,0.35,0.42,0.49,0.48,0.51,0.32,0.44,,
0.5,g,TARRAGON LEAVES,,,0.17,kg,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,,
80,g,RISONI AND GREEN BEAN MIX,,,27.44,kg,3.36,2.80,3.36,3.92,3.84,4.08,2.56,3.52,,
2,ea,CABBAGE LEAF BLANCHED,,,686.00,ea,84,70,84,98,96,102,64,88,,
F1401995,,BRAISED SILVERBEET FOR F0505923,Mascot,Mascot,343,units,42,35,42,49,48,51,32,44,,
60,g,BRAISED SILVERBEET,,,20.58,kg,2.52,2.10,2.52,2.94,2.88,3.06,1.92,2.64,,
,,,,,4,,,,,,,,,,4,
,,,,,,,,,,,,,,,,
,,41A - PC/JC MENU LIST,,,,,,,,APPROX. DAILY ORDER,,,,,,
,,,,,ESTIMATED,,,,,,,,,,,
,,,PRODUCTION,PLATING &,WEELY,UOM,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,,
Item Code,,ITEM DESCRIPTION,SITE,ASSEMBLY SITE,ORDER,,,,,,,,,,,
,,,,,,,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,,
F0505926,,RPBG LAMB RACK BEANS GREEN,Mascot,Mascot,156,units,23,17,24,14,22,23,11,22,,
130,g,LAMB RACK ROAST 2 BONES,,,20.28,kg,2.99,2.21,3.12,1.82,2.86,2.99,1.43,2.86,,
60,g,GREEN BEANS,,,9.36,kg,1.38,1.02,1.44,0.84,1.32,1.38,0.66,1.32,,
F1401999,,MAC AND CHEESE 2U846 FOR F0505926,Mascot,Mascot,156,units,23,17,24,14,22,23,11,22,,
165,g,MAC AND CHEESE (1EA = 165G),,,25.74,kg,3.80,2.81,3.96,2.31,3.63,3.80,1.82,3.63,,
F1402000,,GARNISH HARISSA FOR F0505926,Mascot,Mascot,156,units,23,17,24,14,22,23,11,22,,
25,g,HARISSA PASTE,,,3.90,kg,0.58,0.43,0.60,0.35,0.55,0.58,0.28,0.55,,
F0505924,,SEAR CONE BAY BARRAMUNDI HERB POTATO BROCCOLINI,Mascot,Mascot,41,units,6,4,6,4,6,6,3,6,,
120,g,SEARED CONE BAY BARRAMUNDI FILLET - CW,,,4.92,kg,0.72,0.48,0.72,0.48,0.72,0.72,0.36,0.72,,
85,g,STEAMED HERB CHAT POTATOES,,,3.49,kg,0.51,0.34,0.51,0.34,0.51,0.51,0.26,0.51,,
60,g,BROCCOLINI,,,2.46,kg,0.36,0.24,0.36,0.24,0.36,0.36,0.18,0.36,,
F0505956,,SEAR CONE BAY BARRAMUNDI STEAMED HERB POTATO,Mascot,Mascot,1895,units,218,196,250,231,284,252,235,229,,
120,g,SEARED CONE BAY BARRAMUNDI FILLET - CW,,,227.40,kg,26.16,23.52,30.00,27.72,34.08,30.24,28.20,27.48,,
85,g,STEAMED HERB CHAT POTATOES,,,161.08,kg,18.53,16.66,21.25,19.64,24.14,21.42,19.98,19.47,,
F1402020,,ALMOND SALSA FOR F0505956 F0505924,Mascot,Mascot,1936,units,224,200,256,235,290,258,238,235,,
30,g,"PARSLEY, OLIVE AND ALMOND SALSA",,,58.08,kg,6.72,5.67,8.50,5.67,8.50,8.50,4.25,8.50,,
F1402019,,LEMON CHEEK FOR F0505924,Mascot,Mascot,41,units,6,4,6,4,6,6,3,6,,
1,ea,LEMON CHEEK,,,41.00,ea,6,4,6,4,6,6,3,6,,
F1401980,,BLANCHED BROCCOLINI,Mascot,Mascot,1895,units,218,196,250,231,284,252,235,229,,
60,g,BLANCHED BROCCOLINI,,,113.70,kg,13.08,11.76,15.00,13.86,17.04,15.12,14.10,13.74,,
,,,,,,,,,,,,,,,,
5,5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,41A - PC/JC MENU LIST,,,,,,,,APPROX. DAILY ORDER,,,,,,
,,,,,ESTIMATED,,,,,,,,,,,
,,,PRODUCTION,PLATING &,WEELY,UOM,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,,
Item Code,,ITEM DESCRIPTION,SITE,ASSEMBLY SITE,ORDER,,,,,,,,,,,
,,,,,,,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,,
F0505922,,STEAMED BLUE EYE BROTH GINGER SOY BROWN RICE,Mascot,Mascot,71,units,10,7,10,7,10,10,6,11,,
120,g,STEAMED BLUE EYE CW,,,8.52,kg,1.20,0.84,1.20,0.84,1.20,1.20,0.72,1.32,,
50,g,GINGER AND SOY BROTH,,,3.55,kg,0.50,0.35,0.50,0.35,0.50,0.50,0.30,0.55,,
1,g,GINGER JULIENNE,,,0.07,kg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,
